City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Ushtobe,KZ,45.2514,77.9838,17.26,85,5,5.23,clear sky
113,Pevek,RU,69.7008,170.3133,5.88,92,100,6.38,overcast clouds
114,Itau De Minas,BR,-20.7394,-46.7522,72.19,82,98,3.83,overcast clouds
115,Raudeberg,NO,61.9875,5.1352,39.87,79,99,4.0,overcast clouds
116,Tashara,RU,55.5195,83.5094,28.24,72,100,16.26,overcast clouds
117,Porto Belo,BR,-27.1578,-48.5531,67.95,79,100,4.88,overcast clouds
118,Broken Hill,AU,-31.95,141.4333,70.59,37,100,8.39,overcast clouds
119,Norman Wells,CA,65.282,-126.8329,12.24,85,90,12.66,light snow
120,Plouzane,FR,48.3833,-4.6167,50.05,97,90,3.44,overcast clouds
121,Gueret,FR,46.1667,1.8667,45.23,98,87,3.42,overcast clouds
122,Abdulino,RU,53.7,53.6667,29.05,95,54,4.54,broken clouds
123,Apatou,GF,5.155,-54.3472,72.77,99,100,2.39,overcast clouds
124,Mabaruma,GY,8.2,-59.7833,73.35,98,100,1.72,overcast clouds
125,Kashima,JP,33.1061,130.0906,69.51,61,100,10.58,moderate rain
126,Bambous Virieux,MU,-20.3428,57.7575,75.22,80,87,10.07,overcast clouds
127,Pangnirtung,CA,66.1451,-65.7125,15.8,62,1,12.66,clear sky
128,Biaora,IN,23.8667,76.9167,65.68,48,53,3.38,broken clouds
129,Butaritari,KI,3.0707,172.7902,82.24,68,5,11.74,clear sky
130,Saint-Pierre,RE,-21.3393,55.4781,73.04,72,0,4.61,clear sky
131,Fort Smith,US,35.3859,-94.3986,56.34,69,1,3.0,clear sky
132,Calabozo,VE,8.9242,-67.4293,79.84,55,99,5.53,overcast clouds
133,Torbay,CA,47.6666,-52.7314,46.27,86,75,8.05,broken clouds
134,Dali,CN,25.7,100.1833,57.31,51,4,0.56,clear sky
135,Srednekolymsk,RU,67.45,153.6833,4.33,95,100,6.71,light snow
136,Pringsewu,ID,-5.3582,104.9744,77.76,88,100,3.06,overcast clouds
137,Miechow,PL,50.3565,20.0279,45.59,80,100,12.01,overcast clouds
138,Kahului,US,20.8947,-156.47,82.42,72,20,26.46,few clouds
139,Guararapes,BR,-21.2608,-50.6428,78.12,59,7,3.85,clear sky
140,Copperas Cove,US,31.1241,-97.9031,61.43,76,1,5.75,haze
141,Batemans Bay,AU,-35.7167,150.1833,81.19,85,91,7.02,overcast clouds
142,Zapolyarnyy,RU,69.4154,30.8136,22.28,97,90,4.81,overcast clouds
143,Scunthorpe,GB,53.579,-0.6544,45.3,88,100,5.01,overcast clouds
144,Novaya Zaimka,RU,56.4857,66.9241,36.14,92,97,18.72,overcast clouds
145,Bengkulu,ID,-3.8004,102.2655,82.08,68,100,5.28,moderate rain
146,Yulara,AU,-25.2406,130.9889,67.84,100,75,14.97,broken clouds
147,Mbanza-Ngungu,CD,-5.25,14.8667,67.46,98,72,3.67,broken clouds
148,Kodiak,US,57.79,-152.4072,31.57,92,98,13.35,light snow
149,Green Valley,US,31.8543,-110.9937,75.97,25,100,1.01,overcast clouds
150,Kuryk,KZ,43.2,51.65,45.81,56,99,10.11,overcast clouds
151,Vestmannaeyjar,IS,63.4427,-20.2734,39.49,95,100,50.09,moderate rain
152,Namibe,AO,-15.1961,12.1522,66.72,79,94,3.18,overcast clouds
153,Flin Flon,CA,54.7682,-101.865,33.69,75,100,4.36,overcast clouds
154,Porto Novo,BJ,6.4965,2.6036,76.82,88,100,4.47,overcast clouds
155,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.62,92,100,6.42,overcast clouds
156,Saint George,US,37.1041,-113.5841,69.26,28,1,5.75,clear sky
157,Vila,PT,42.0304,-8.1588,45.34,90,100,4.76,overcast clouds
158,Hithadhoo,MV,-0.6,73.0833,81.77,74,96,12.06,overcast clouds
