City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Luanda,AO,75.29,light rain,-8.8368,13.2343,Hotel Fórum
401,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
407,Ndioum,SN,82.62,scattered clouds,16.5129,-14.6471,l'hôtel samassa
408,Kalmunai,LK,76.78,overcast clouds,7.4167,81.8167,VS Villa
409,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
425,Gondanglegi,ID,85.14,light rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
435,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
436,Conakry,GN,80.67,light rain,9.538,-13.6773,Riviera Royal Hotel
440,Alyangula,AU,89.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
448,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
453,Sulangan,PH,83.48,few clouds,11.1373,123.7228,Maia's Beach Resort
456,Pyu,MM,78.53,few clouds,18.4833,96.4333,Mr Bo Bo
457,Samarai,PG,84.99,clear sky,-10.6167,150.6667,Nuli Sapi
458,Neiafu,TO,77.68,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
462,Pedernales,DO,79.14,broken clouds,18.0384,-71.744,Hotel Costa Marina
466,Oussouye,SN,78.39,scattered clouds,12.485,-16.5469,Auberge du Routard
468,Champerico,GT,81.03,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
472,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
478,Honiara,SB,86.0,broken clouds,-9.4333,159.95,Heritage Park Hotel
482,Axim,GH,78.55,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
486,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
